,Quarter,Tm,Detail,RAM,BAL
0,1.0,Colts,Alan Ameche 7 yard rush (Steve Myhra kick),0,7
1,1.0,Colts,Mike Sommer 3 yard rush (Steve Myhra kick),0,14
2,2.0,Colts,Raymond Berry 55 yard pass from Johnny Unitas (Steve Myhra kick),0,21
3,2.0,Rams,Del Shofner 72 yard pass from Billy Wade (Lou Michaels kick),7,21
4,2.0,Colts,Alan Ameche 12 yard rush (Steve Myhra kick),7,28
5,2.0,Rams,Billy Wade 2 yard rush (Lou Michaels kick),14,28
6,3.0,Rams,Tommy Wilson 7 yard pass from Billy Wade (Lou Michaels kick),21,28
7,3.0,Colts,Lenny Moore 17 yard pass from Johnny Unitas (Steve Myhra kick),21,35
