,Quarter,Tm,Detail,BAL,SFO
0,1.0,Colts,Steve Myhra 20 yard field goal,3,0
1,1.0,49ers,Tommy Davis 45 yard field goal,3,3
2,1.0,49ers,R.C. Owens 35 yard pass from John Brodie (Tommy Davis kick),3,10
3,2.0,Colts,Mark Smolinski 19 yard pass from Johnny Unitas (Steve Myhra kick),10,10
4,2.0,Colts,Jim Mutscheller 25 yard pass from Johnny Unitas (Steve Myhra kick),17,10
5,2.0,Colts,Steve Myhra 28 yard field goal,20,10
6,3.0,49ers,John Brodie 8 yard rush (Tommy Davis kick),20,17
7,3.0,Colts,Jimmy Orr 20 yard pass from Johnny Unitas (Steve Myhra kick),27,17
8,4.0,49ers,R.C. Owens 20 yard pass from John Brodie (Tommy Davis kick),27,24
