,Quarter,Tm,Detail,NYG,DAL
0,1.0,Giants,Jerry Hillebrand defensive fumble recovery in end zone (Don Chandler kick),7,0
1,1.0,Cowboys,Don Perkins 5 yard rush (Sam Baker kick),7,7
2,1.0,Cowboys,Don Perkins 6 yard rush (Sam Baker kick),7,14
3,2.0,Giants,Frank Gifford 9 yard pass from Y.A. Tittle (Don Chandler kick),14,14
4,2.0,Cowboys,Amos Marsh 3 yard rush,14,20
5,2.0,Cowboys,Don Perkins 4 yard rush (Sam Baker kick),14,27
6,3.0,Giants,Y.A. Tittle 1 yard rush (Don Chandler kick),21,27
7,4.0,Giants,Don Chandler 11 yard field goal,24,27
8,4.0,Giants,Don Chandler 53 yard field goal,27,27
9,4.0,Giants,Del Shofner 17 yard pass from Y.A. Tittle (Don Chandler kick),34,27
