,Quarter,Tm,Detail,TAM,DET
0,1.0,Lions,Eddie Murray 39 yard field goal,0,3
1,1.0,Lions,Garry James 1 yard rush (Eddie Murray kick),0,10
2,1.0,Buccaneers,William Howard 29 yard rush (Donald Igwebuike kick),7,10
3,2.0,Buccaneers,Donald Igwebuike 23 yard field goal,10,10
4,4.0,Lions,Eddie Murray 38 yard field goal,10,13
5,4.0,Buccaneers,Lars Tate 5 yard rush (Donald Igwebuike kick),17,13
6,4.0,Buccaneers,Donald Igwebuike 22 yard field goal,20,13
7,4.0,Lions,Garry James 19 yard pass from Rusty Hilger (Eddie Murray kick),20,20
8,4.0,Buccaneers,Donald Igwebuike 52 yard field goal,23,20
