,Quarter,Time,Tm,Detail,BUF,NYJ
0,1.0,,Jets,Nick Lowery 30 yard field goal,0,3
1,1.0,,Bills,Bill Brooks 45 yard pass from Jim Kelly (Steve Christie kick),7,3
2,2.0,,Bills,Thurman Thomas 12 yard rush (Steve Christie kick),14,3
3,2.0,,Bills,Bill Brooks 18 yard pass from Jim Kelly (Steve Christie kick),21,3
4,3.0,,Jets,Johnny Mitchell 43 yard pass from Boomer Esiason (Nick Lowery kick),21,10
5,3.0,,Bills,Darick Holmes 6 yard rush (Steve Christie kick),28,10
6,3.0,,Jets,Nick Lowery 35 yard field goal,28,13
7,4.0,,Jets,Fred Baxter 6 yard pass from Boomer Esiason (Nick Lowery kick),28,20
8,4.0,,Jets,Adrian Murrell 41 yard pass from Boomer Esiason (pass failed),28,26
