,Quarter,Time,Tm,Detail,JAX,CIN
0,1.0,10:38,Jaguars,Fred Taylor 1 yard rush (Mike Hollis kick),7,0
1,1.0,6:30,Jaguars,Keenan McCardell 23 yard pass from Mark Brunell (Mike Hollis kick),14,0
2,2.0,14:46,Jaguars,Mike Hollis 43 yard field goal,17,0
3,2.0,5:54,Jaguars,Jimmy Smith 3 yard pass from Mark Brunell (Mike Hollis kick),24,0
4,2.0,1:46,Jaguars,Mike Hollis 21 yard field goal,27,0
5,3.0,7:20,Bengals,Doug Pelfrey 29 yard field goal,27,3
6,3.0,1:41,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),34,3
7,4.0,6:37,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),41,3
8,4.0,0:00,Bengals,Willie Jackson 15 yard pass from Jeff Blake (Doug Pelfrey kick),41,10
