,Quarter,Time,Tm,Detail,STL,CLE
0,1.0,7:18,Rams,Jeff Wilkins 28 yard field goal,3,0
1,1.0,4:13,Browns,Keith Heinrich 2 yard pass from Kelly Holcomb (Phil Dawson kick),3,7
2,2.0,8:01,Rams,Jeff Wilkins 26 yard field goal,6,7
3,2.0,1:52,Rams,Jeff Wilkins 29 yard field goal,9,7
4,2.0,1:04,Rams,Aeneas Williams 46 yard interception return (Jeff Wilkins kick),16,7
5,2.0,0:22,Rams,Isaac Bruce 16 yard pass from Marc Bulger (Jeff Wilkins kick),23,7
6,3.0,10:31,Browns,Quincy Morgan 28 yard pass from Tim Couch (pass failed),23,13
7,3.0,3:53,Rams,Jeff Wilkins 37 yard field goal,26,13
8,4.0,10:17,Browns,Jamel White 2 yard rush (Phil Dawson kick),26,20
