,Quarter,Time,Tm,Detail,CHI,GNB
0,1.0,11:01,Packers,DeShawn Wynn 2 yard rush (Mason Crosby kick),0,7
1,2.0,7:52,Bears,Cedric Benson 10 yard rush (Robbie Gould kick),7,7
2,2.0,4:55,Packers,Greg Jennings 41 yard pass from Brett Favre (Mason Crosby kick),7,14
3,2.0,0:01,Packers,Mason Crosby 37 yard field goal,7,17
4,3.0,12:03,Bears,Robbie Gould 44 yard field goal,10,17
5,3.0,9:02,Packers,Mason Crosby 37 yard field goal,10,20
6,3.0,4:19,Bears,Greg Olsen 19 yard pass from Brian Griese (Robbie Gould kick),17,20
7,4.0,14:13,Bears,Robbie Gould 36 yard field goal,20,20
8,4.0,2:05,Bears,Desmond Clark 34 yard pass from Brian Griese (Robbie Gould kick),27,20
