,Quarter,Time,Tm,Detail,BAL,KAN
0,1,3:03,Chiefs,Damien Williams 1 yard rush (Harrison Butker kick),0,7
1,2,14:17,Ravens,Kenneth Dixon 3 yard rush (Justin Tucker kick),7,7
2,2,7:00,Ravens,Justin Tucker 28 yard field goal,10,7
3,2,2:37,Chiefs,Travis Kelce 15 yard pass from Patrick Mahomes (Harrison Butker kick),10,14
4,2,0:00,Chiefs,Harrison Butker 24 yard field goal,10,17
5,3,3:10,Ravens,Maxx Williams 10 yard pass from Lamar Jackson (Justin Tucker kick),17,17
6,4,4:04,Ravens,John Brown 9 yard pass from Lamar Jackson (Justin Tucker kick),24,17
7,4,0:53,Chiefs,Damien Williams 5 yard pass from Patrick Mahomes (Harrison Butker kick),24,24
8,OT,4:42,Chiefs,Harrison Butker 35 yard field goal,24,27
