,Quarter,Time,Tm,Detail,PHI,GNB
0,1.0,10:36,Packers,Aaron Jones 3 yard rush (Mason Crosby kick),0,7
1,2.0,14:04,Packers,Mason Crosby 30 yard field goal,0,10
2,2.0,11:52,Eagles,Alshon Jeffery 6 yard pass from Carson Wentz (Jake Elliott kick),7,10
3,2.0,8:28,Packers,Mason Crosby 31 yard field goal,7,13
4,2.0,2:48,Eagles,Dallas Goedert 3 yard pass from Carson Wentz (Jake Elliott kick),14,13
5,2.0,1:02,Eagles,Jordan Howard 1 yard rush (Jake Elliott kick),21,13
6,2.0,0:14,Packers,Geronimo Allison 19 yard pass from Aaron Rodgers (Mason Crosby kick),21,20
7,3.0,9:18,Eagles,Jordan Howard 20 yard pass from Carson Wentz (pass failed),27,20
8,3.0,3:21,Packers,Jimmy Graham 14 yard pass from Aaron Rodgers (Mason Crosby kick),27,27
9,4.0,14:17,Eagles,Jordan Howard 2 yard rush (Jake Elliott kick),34,27
